,Year,Month,D/M FIN,D/M IND,D/M NS,Raise FIN,Raise IND,Raise NS,Easter,Revenue FIN,Revenue IND,Revenue NS,Revenue
3,2021,10,21,18,21,0.00%,0.00%,0.00%,0,2545037.131,746260.7449,139686.3329,3430984.208
4,2021,11,22,20,20,0.00%,0.00%,0.00%,0,2839525.588,746482.5474,136286.2558,3722294.391
5,2021,12,21,22,23,0.00%,0.00%,0.00%,0,2113049.84,800971.5941,131170.7512,3045192.185
6,2022,1,20,20,20,-3.40%,0.00%,0.00%,0,2217880.591,717152.4084,116870.6128,3051903.612
7,2022,2,20,20,20,0.00%,0.00%,0.00%,0,2324460.391,804921.8246,126764.7611,3256146.977
8,2022,3,23,22,23,0.00%,0.00%,0.00%,0,2658184.367,962770.62,155846.7006,3776801.688
9,2022,4,19,18,20,0.00%,0.00%,0.00%,1,2149729.289,865059.071,144034.0108,3158822.371
10,2022,5,21,20,21,0.00%,0.00%,0.00%,0,2632984.764,914737.0276,155452.6087,3703174.401
11,2022,6,21,22,21,0.00%,0.00%,0.00%,0,2385276.738,928840.0175,148413.6225,3462530.378
12,2022,7,21,19,21,0.00%,0.00%,0.00%,0,882168.186,913663.845,135356.9987,1931189.03
13,2022,8,23,21,22,0.00%,0.00%,0.00%,0,2465130.835,952198.4808,134021.7655,3551351.082
14,2022,9,22,22,22,0.00%,0.00%,0.00%,0,2682730.242,972187.4865,145815.4404,3800733.169
15,2022,10,21,17,21,0.00%,0.00%,0.00%,0,2556002.327,801169.0129,143834.5974,3501005.937
16,2022,11,22,21,20,0.00%,0.00%,0.00%,0,2874506.275,944972.4501,143352.5712,3962831.297
17,2022,12,20,21,21,0.00%,0.00%,0.00%,0,2171155.835,934597.7857,144542.1358,3250295.757
18,2023,1,21,21,21,1.50%,8.00%,6.00%,0,2660973.761,1085627.729,159657.7405,3906259.23
19,2023,2,20,20,20,0.00%,0.00%,0.00%,0,2533704.407,1083791.315,148584.7654,3766080.487
20,2023,3,23,21,23,0.00%,0.00%,0.00%,0,2936641.087,1315838.178,181460.6967,4433939.962
21,2023,4,18,17,19,0.00%,0.00%,0.00%,1,2241929.48,1189316.323,152898.2725,3584144.075
22,2023,5,21,22,21,0.00%,0.00%,0.00%,0,2712861.363,1277597.191,168443.9109,4158902.465
23,2023,6,21,21,21,0.00%,0.00%,0.00%,0,2334497.393,1290265.409,168537.3073,3793300.11
24,2023,7,21,20,21,2.10%,0.00%,0.00%,0,969041.3321,1304106.47,135848.3739,2408996.176
25,2023,8,23,22,22,0.00%,0.00%,0.00%,0,2614786.994,1342996.152,165960.7592,4123743.905
26,2023,9,21,19,21,0.00%,0.00%,0.00%,0,2761336.435,1294418.949,157757.4123,4213512.797
27,2023,10,22,20,22,0.00%,0.00%,0.00%,0,2846002.489,1306437.903,174448.3872,4326888.78
28,2023,11,22,20,21,0.00%,0.00%,0.00%,0,2844173.877,1337603.506,177519.5822,4359296.965
29,2023,12,18,20,19,0.00%,0.00%,0.00%,0,2026935.721,1271976.078,147778.7505,3446690.55
30,2024,1,22,22,21,1.80%,3.00%,3.00%,0,2836991.553,1525439.729,172285.0391,4534716.321
31,2024,2,21,21,21,0.00%,0.00%,0.00%,0,2763300.621,1507439.312,181614.6051,4452354.539
32,2024,3,20,18,21,0.00%,0.00%,0.00%,1,2543519.774,1521135.347,179272.2564,4243927.378
33,2024,4,21,20,21,0.00%,0.00%,0.00%,0,2759374.01,1570568.46,163718.4249,4493660.895
34,2024,5,21,22,20,0.00%,0.00%,0.00%,0,2942603.926,1621270.207,146524.5168,4710398.65
35,2024,6,19,19,20,0.00%,0.00%,0.00%,0,2405111.9,1421141.999,145615.1973,3971869.097
36,2024,7,23,22,23,0.00%,0.00%,0.00%,0,1222198.863,1675304.408,176226.3027,3073729.573
37,2024,8,22,20,21,0.00%,0.00%,0.00%,0,2661230.219,1526411.425,163638.1058,4351279.749
38,2024,9,21,20,21,0.00%,0.00%,0.00%,0,2888933.589,1533596.462,170210.6319,4592740.683
39,2024,10,23,21,23,0.00%,0.00%,0.00%,0,3027519.569,1545334.155,195758.2345,4768611.958
40,2024,11,21,19,19,0.00%,0.00%,0.00%,0,2799983.957,1457346.86,167587.0034,4424917.821
41,2024,12,18,21,20,0.00%,0.00%,0.00%,0,1871413.513,1352266.921,148456.844,3372137.277
42,2025,1,21,22,21,0.00%,0.00%,0.00%,0,,,,
43,2025,2,20,19,20,0.00%,0.00%,0.00%,0,,,,
44,2025,3,21,19,21,0.00%,0.00%,0.00%,0,,,,
45,2025,4,20,20,21,0.00%,0.00%,0.00%,0,,,,
46,2025,5,20,21,21,0.00%,0.00%,0.00%,0,,,,
47,2025,6,20,20,20,0.00%,0.00%,0.00%,0,,,,
48,2025,7,23,22,23,0.00%,0.00%,0.00%,0,,,,
49,2025,8,21,19,20,0.00%,0.00%,0.00%,0,,,,
50,2025,9,22,21,22,0.00%,0.00%,0.00%,0,,,,
51,2025,10,23,20,23,0.00%,0.00%,0.00%,0,,,,
52,2025,11,20,19,19,0.00%,0.00%,0.00%,0,,,,
53,2025,12,20,22,21,0.00%,0.00%,0.00%,0,,,,
